"datetime","stream_height_ft","date"
2019-03-25 01:30:23,0.0323094337282143,2019-03-25
2019-03-25 01:59:09,0.0296746883334367,2019-03-25
2019-03-25 05:06:05,0.0295053650065124,2019-03-25
2019-03-25 08:13:01,0.0286838677665447,2019-03-25
2019-03-25 11:17:53,0.0291685790485641,2019-03-25
2019-03-25 13:41:41,0.028386156422502,2019-03-25
2019-03-25 14:33:02,0.0316005085902127,2019-03-25
2019-03-25 17:19:26,0.0314497922222911,2019-03-25
2019-03-25 20:28:25,0.0312786081994666,2019-03-25
2019-03-25 23:59:59,0.0310850958258389,2019-03-25
2019-03-26 00:00:00,0.0273333333333333,2019-03-26
2019-03-26 03:02:15,0.0266666666666667,2019-03-26
2019-03-26 06:02:30,0.0266666666666667,2019-03-26
2019-03-26 09:00:45,0.026,2019-03-26
2019-03-26 11:38:58,0.0253333333333333,2019-03-26
2019-03-26 12:05:00,0.0273333333333333,2019-03-26
2019-03-26 13:41:08,0.028,2019-03-26
2019-03-26 15:01:15,0.0326666666666667,2019-03-26
2019-03-26 15:13:16,0.034,2019-03-26
2019-03-26 18:03:30,0.0333333333333333,2019-03-26
2019-03-26 20:59:45,0.0333333333333333,2019-03-26
2019-03-26 23:59:59,0.0333333333333333,2019-03-26
2019-03-27 00:00:00,0.0340958425896541,2019-03-27
2019-03-27 03:01:17,0.0342576959695335,2019-03-27
2019-03-27 06:02:18,0.0344252618216439,2019-03-27
2019-03-27 09:01:19,0.0345985401459854,2019-03-27
2019-03-27 11:30:07,0.0341758172008886,2019-03-27
2019-03-27 11:58:21,0.0354592192954618,2019-03-27
2019-03-27 13:00:55,0.0386905744208188,2019-03-27
2019-03-27 13:57:46,0.0467108854331958,2019-03-27
2019-03-27 15:02:40,0.0547083465566487,2019-03-27
2019-03-27 15:33:00,0.0573494128847985,2019-03-27
2019-03-27 16:31:47,0.0640006347191368,2019-03-27
2019-03-27 17:32:44,0.0733728974928594,2019-03-27
2019-03-27 18:35:18,0.0766042526182165,2019-03-27
2019-03-27 19:31:47,0.0791710568073628,2019-03-27
2019-03-27 21:04:20,0.0795899714376389,2019-03-27
2019-03-27 23:59:59,0.0797632497619803,2019-03-27
2019-03-28 00:00:00,0.0790846855983773,2019-03-28
